ts,bid.curr.mth,target.7sec,baseline,R01_bid.curr.mth,R01_target.7sec
2016-07-01 11:29,85700,85700,85400,300,300
2016-07-01 11:29,85700,85800,85400,300,400
2016-07-01 11:29,85700,85800,85400,300,400
2016-07-01 11:29,85700,85800,85400,300,400
2016-07-01 11:29,85700,85900,85400,300,500
2016-07-01 11:29,85700,85900,85400,300,500
2016-07-01 11:29,85700,86000,85400,300,600
2016-07-01 11:29,85700,86000,85400,300,600
2016-07-01 11:29,85800,86000,85400,400,600
2016-07-01 11:29,85800,86100,85400,400,700
2016-07-01 11:29,85800,86100,85400,400,700
2016-07-01 11:29,85900,86200,85400,500,800
2016-07-01 11:29,85900,86300,85400,500,900
2016-07-01 11:29,86000,86300,85400,600,900
2016-07-01 11:29,86000,86300,85400,600,900
2016-07-01 11:29,86000,86400,85400,600,1000
2016-07-01 11:29,86100,86500,85400,700,1100
2016-07-01 11:29,86100,86500,85400,700,1100
2016-07-01 11:29,86200,86600,85400,800,1200
2016-07-01 11:29,86300,86600,85400,900,1200
2016-07-01 11:29,86300,86600,85400,900,1200
2016-07-01 11:29,86300,86700,85400,900,1300
2016-07-01 11:29,86400,86800,85400,1000,1400
2016-07-01 11:29,86500,86900,85400,1100,1500
2016-07-01 11:29,86500,86900,85400,1100,1500
2016-07-01 11:29,86600,87000,85400,1200,1600
2016-07-01 11:29,86600,87100,85400,1200,1700
2016-07-01 11:29,86600,87100,85400,1200,1700
2016-07-01 11:29,86700,87200,85400,1300,1800
2016-07-01 11:29,86800,87200,85400,1400,1800
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85400,85400,0,0
2016-08-01 11:29,85400,85500,85400,0,100
2016-08-01 11:29,85400,85500,85400,0,100
2016-08-01 11:29,85400,85600,85400,0,200
2016-08-01 11:29,85400,85600,85400,0,200
2016-08-01 11:29,85400,85700,85400,0,300
2016-08-01 11:29,85400,85700,85400,0,300
2016-08-01 11:29,85400,85700,85400,0,300
2016-08-01 11:29,85500,85700,85400,100,300
2016-08-01 11:29,85500,85700,85400,100,300
2016-08-01 11:29,85600,85700,85400,200,300
2016-08-01 11:29,85600,85700,85400,200,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
2016-08-01 11:29,85700,85700,85400,300,300
