ts,R01_bid.curr.mth,R01_target.7sec
2016-05-01 11:29:00,84300,84500
2016-05-01 11:29:00,84300,84600
2016-05-01 11:29:00,84300,84700
2016-05-01 11:29:00,84400,84800
2016-05-01 11:29:00,84400,84900
2016-05-01 11:29:00,84400,84900
2016-05-01 11:29:00,84500,85000
2016-06-01 11:29:00,83500,83600
2016-06-01 11:29:00,83500,83600
2016-06-01 11:29:00,83500,83700
2016-06-01 11:29:00,83500,83700
2016-06-01 11:29:00,83500,83700
2016-06-01 11:29:00,83500,83700
2016-06-01 11:29:00,83600,83700
2016-06-01 11:29:00,83600,83700
2016-06-01 11:29:00,83600,83700
2016-06-01 11:29:00,83700,83700
2016-06-01 11:29:00,83700,83700
2016-06-01 11:29:00,83700,83700
2016-06-01 11:29:00,83700,83700
2016-06-01 11:29:00,83700,83700
2016-06-01 11:29:00,83700,83800
2016-06-01 11:29:00,83700,83800
2016-06-01 11:29:00,83700,83800
2016-06-01 11:29:00,83700,83800
2016-06-01 11:29:00,83700,83800
2016-06-01 11:29:00,83700,83800
2016-06-01 11:29:00,83700,83800
2016-06-01 11:29:00,83800,83800
2016-06-01 11:29:00,83800,83800
2016-06-01 11:29:00,83800,83800
2016-06-01 11:29:00,83800,83800
2016-06-01 11:29:00,83800,83800
2016-06-01 11:29:00,83800,83800
2016-06-01 11:29:00,83800,83900
2016-06-01 11:29:00,83800,83900
2016-06-01 11:29:00,83800,84000
2016-06-01 11:29:00,83800,84000
2016-06-01 11:29:00,83800,84000
2016-06-01 11:29:00,83800,84000
2016-06-01 11:29:00,83800,84000
2016-06-01 11:29:00,83900,84000
2016-06-01 11:29:00,83900,84000
2016-06-01 11:29:00,84000,84100
2016-06-01 11:29:00,84000,84100
2016-06-01 11:29:00,84000,84100
2016-06-01 11:29:00,84000,84100
2016-06-01 11:29:00,84000,84100
2016-06-01 11:29:00,84000,84100
2016-06-01 11:29:00,84000,84100
2016-06-01 11:29:00,84100,84100
2016-06-01 11:29:00,84100,84100
2016-06-01 11:29:00,84100,84100
2016-06-01 11:29:00,84100,84200
2016-06-01 11:29:00,84100,84200
2016-06-01 11:29:00,84100,84200
2016-06-01 11:29:00,84100,84300
2016-06-01 11:29:00,84100,84300
2016-06-01 11:29:00,84100,84300
2016-06-01 11:29:00,84100,84300
2016-06-01 11:29:00,84200,84400
2016-07-01 11:29:00,85400,85400
2016-07-01 11:29:00,85400,85400
2016-07-01 11:29:00,85400,85500
2016-07-01 11:29:00,85400,85500
2016-07-01 11:29:00,85400,85600
2016-07-01 11:29:00,85400,85700
